distance,depth,length,width
2136.07,13,14,20
2136.09,11,18,15
2136.14,10,15,15
2136.23,11,14,19
2136.31,16,15,15
2136.31,12,13,15
2136.33,11,13,15
2136.41,14,23,15
2136.41,16,14,31
2136.42,13,17,139
2136.47,12,12,15
2199.69,10,20,25
2203.77,11,8,15
2203.90,11,9,15
2204.36,10,9,15
2204.65,11,10,15
2205.23,13,11,28
2206.31,11,10,15
2243.58,10,32,21
2243.88,13,18,15
3467.83,11,10,15
3567.60,13,9,15
3568.80,12,11,15
3569.01,16,13,19
3569.13,10,11,15
3569.22,12,9,15
3569.37,11,11,16
3569.56,13,10,15
3569.91,15,13,23
3569.98,11,11,14
3570.09,10,9,15
3570.49,10,10,15
3570.75,11,9,15
3570.97,11,10,15
3571.06,11,11,15
3572.03,10,28,15
3572.19,10,33,18
3573.13,11,12,15
3573.40,10,9,15
3573.46,11,12,18
3574.33,10,8,15
3575.29,13,10,15
3575.56,18,15,15
3575.83,14,17,15
3575.95,12,9,15
3576.29,10,9,15
3576.51,11,14,17
3576.74,13,10,16
3576.97,10,11,15
3577.20,10,9,15
3577.65,10,9,15
3577.73,20,8,15
3577.95,13,12,15
3578.07,10,15,17
3578.29,17,10,15
3578.35,12,11,15
3578.39,11,8,15
3578.46,12,12,15
3578.52,13,10,15
3578.82,11,12,15
3580.26,10,14,16
3580.31,10,12,15
3580.43,13,12,15
3580.57,15,11,15
3580.58,19,9,15
3580.62,10,8,15
3580.73,14,17,15
3580.75,12,11,28
3580.77,17,11,15
3580.79,12,10,15
3580.83,10,11,16
3580.83,13,37,29
3580.86,10,10,22
3580.89,10,10,15
3580.91,11,10,15
3580.98,13,16,45
3580.98,11,15,15
3581.11,16,19,15
3581.13,10,9,15
3581.18,10,13,15
3581.25,13,21,19
3581.26,10,19,24
3581.26,11,18,15
3581.29,10,10,15
3581.36,16,9,15
3581.45,12,9,15
3581.47,11,11,31
3581.52,18,11,20
3581.56,14,11,24
3581.57,17,11,20
3581.57,11,14,15
3581.64,10,9,22
3581.65,11,15,28
3581.77,13,13,16
3581.85,12,10,15
3581.90,12,16,15
3581.97,11,13,19
3581.99,11,9,15
3582.01,16,13,19
3582.08,10,9,15
3582.12,12,9,15
3582.21,14,12,23
3582.21,12,10,15
3582.26,11,8,15
3582.29,13,9,15
3582.29,15,10,21
3582.31,10,13,15
3582.33,12,12,15
3582.35,16,9,15
3582.52,10,10,15
3583.01,10,12,15
3583.13,11,9,15
3583.33,10,12,15
3585.11,11,23,15
3585.12,10,9,16
3585.34,14,10,15
3585.44,12,10,15
3585.88,10,10,15
3585.94,11,11,32
3586.48,12,15,32
